Dataset,Target,Model,Accuracy,Balanced Accuracy,F1-Score,Precision,Recall,Training Time
Balanced_Sampled,Label,SVM,0.9656035846072747,0.9633524984483841,0.9737398128584365,0.9769836462749849,0.970517448856799,0.8030037879943848
Balanced_Sampled,Label,Neural Network,0.9986821296784396,0.9989971921379863,0.9989961855049186,1.0,0.9979943842759728,13.486892223358154
Balanced_Sampled,Traffic Type,SVM,0.9193463363205061,0.908916852236893,0.7563525132148944,0.7377389286816916,0.908916852236893,342.6739249229431
Balanced_Sampled,Traffic Type,Neural Network,0.9770690564048498,0.9689530635808941,0.9027402108354805,0.8809339459388255,0.9689530635808941,475.26370882987976
KMeans,Label,SVM,0.9090909090909091,0.8,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.03889608383178711
KMeans,Label,Neural Network,0.7878787878787878,0.7333333333333334,0.8727272727272727,0.96,0.8,0.12322759628295898
DBSCAN,Label,SVM,0.9911831626848692,0.4957325746799431,0.9955720611341237,0.9997131382673551,0.9914651493598862,6.687347412109375
DBSCAN,Label,Neural Network,0.9997155858930603,0.5,0.9998577727208079,0.9997155858930603,1.0,15.730661630630493
